Source,Target,Type,Id,Label,timeset,Weight
2093,1574,Directed,20560,,,1
1364,1610,Directed,20561,,,1
2201,1666,Directed,20562,,,1
760,2232,Directed,20563,,,1
1363,2342,Directed,20564,,,1
1235,1403,Directed,20565,,,1
2011,2151,Directed,20566,,,1
1698,2017,Directed,20567,,,1
1978,1724,Directed,20568,,,1
1526,835,Directed,20569,,,1
1651,1762,Directed,20570,,,1
1540,2081,Directed,20571,,,1
2017,659,Directed,20572,,,1
1863,1342,Directed,20573,,,1
1189,903,Directed,20574,,,1
2303,1877,Directed,20575,,,1
1340,1330,Directed,20576,,,1
2081,1248,Directed,20577,,,1
1925,1579,Directed,20578,,,1
2500,2230,Directed,20579,,,1
2343,1128,Directed,20580,,,1
2464,1943,Directed,20581,,,1
654,1493,Directed,20582,,,1
897,902,Directed,20583,,,1
2516,2414,Directed,20584,,,1
745,1564,Directed,20585,,,1
1951,2048,Directed,20586,,,1
1423,2146,Directed,20587,,,1
1240,2473,Directed,20588,,,1
1033,760,Directed,20589,,,1
2441,964,Directed,20590,,,1
1148,809,Directed,20591,,,1
830,1023,Directed,20592,,,1
1510,2042,Directed,20593,,,1
2196,1014,Directed,20594,,,1
1793,1157,Directed,20595,,,1
1408,630,Directed,20596,,,1
2455,2481,Directed,20597,,,1
2533,2488,Directed,20598,,,1
984,845,Directed,20599,,,1
1064,821,Directed,20600,,,1
766,2050,Directed,20601,,,1
1536,2498,Directed,20602,,,1
2217,2208,Directed,20603,,,1
1190,1365,Directed,20604,,,1
1550,1171,Directed,20605,,,1
804,2088,Directed,20606,,,1
1885,1304,Directed,20607,,,1
1566,1359,Directed,20608,,,1
2325,1883,Directed,20609,,,1
1736,2471,Directed,20610,,,1
2301,1275,Directed,20611,,,1
2378,2207,Directed,20612,,,1
822,1904,Directed,20613,,,1
1733,1750,Directed,20614,,,1
1984,1780,Directed,20615,,,1
2322,2163,Directed,20616,,,1
1618,1438,Directed,20617,,,1
1398,879,Directed,20618,,,1
731,729,Directed,20619,,,1
1122,1649,Directed,20620,,,1
2159,1749,Directed,20621,,,1
1795,1461,Directed,20622,,,1
1064,641,Directed,20623,,,1
1369,2378,Directed,20624,,,1
1495,2222,Directed,20625,,,1
1812,1120,Directed,20626,,,1
2189,1251,Directed,20627,,,1
1255,2198,Directed,20628,,,1
2181,2170,Directed,20629,,,1
685,884,Directed,20630,,,1
840,2021,Directed,20631,,,1
802,641,Directed,20632,,,1
771,1672,Directed,20633,,,1
1979,1281,Directed,20634,,,1
841,1306,Directed,20635,,,1
1474,1162,Directed,20636,,,1
2382,946,Directed,20637,,,1
2109,2515,Directed,20638,,,1
971,1863,Directed,20639,,,1
1246,863,Directed,20640,,,1
1126,1327,Directed,20641,,,1
1158,678,Directed,20642,,,1
1339,2470,Directed,20643,,,1
2325,1737,Directed,20644,,,1
1962,2087,Directed,20645,,,1
2086,1835,Directed,20646,,,1
1841,2337,Directed,20647,,,1
1991,2232,Directed,20648,,,1
2497,2461,Directed,20649,,,1
1278,2311,Directed,20650,,,1
2276,1840,Directed,20651,,,1
2448,2471,Directed,20652,,,1
1872,2487,Directed,20653,,,1
780,1019,Directed,20654,,,1
1583,635,Directed,20655,,,1
2277,1876,Directed,20656,,,1
1599,1930,Directed,20657,,,1
1524,2124,Directed,20658,,,1
661,1923,Directed,20659,,,1
1398,2224,Directed,20660,,,1
1563,970,Directed,20661,,,1
830,2316,Directed,20662,,,1
2120,1808,Directed,20663,,,1
688,770,Directed,20664,,,1
1329,1076,Directed,20665,,,1
1972,1842,Directed,20666,,,1
1759,2121,Directed,20667,,,1
2188,1018,Directed,20668,,,1
2223,1792,Directed,20669,,,1
1581,1974,Directed,20670,,,1
1824,859,Directed,20671,,,1
1878,1752,Directed,20672,,,1
2265,1828,Directed,20673,,,1
2440,1277,Directed,20674,,,1
873,2043,Directed,20675,,,1
1232,2329,Directed,20676,,,1
1972,1288,Directed,20677,,,1
846,851,Directed,20678,,,1
1817,1644,Directed,20679,,,1
2138,1737,Directed,20680,,,1
1800,1366,Directed,20681,,,1
739,2461,Directed,20682,,,1
1699,1172,Directed,20683,,,1
1273,1340,Directed,20684,,,1
722,1583,Directed,20685,,,1
1145,971,Directed,20686,,,1
1040,2044,Directed,20687,,,1
777,1568,Directed,20688,,,1
1154,734,Directed,20689,,,1
1140,1682,Directed,20690,,,1
1866,2339,Directed,20691,,,1
1930,1897,Directed,20692,,,1
2195,2058,Directed,20693,,,1
1482,2476,Directed,20694,,,1
2110,1210,Directed,20695,,,1
2264,2173,Directed,20696,,,1
1273,2180,Directed,20697,,,1
2158,2088,Directed,20698,,,1
2044,2023,Directed,20699,,,1
1718,1493,Directed,20700,,,1
1854,1837,Directed,20701,,,1
1973,1643,Directed,20702,,,1
2148,2430,Directed,20703,,,1
1539,1471,Directed,20704,,,1
1785,2145,Directed,20705,,,1
678,2497,Directed,20706,,,1
