Source,Target,Type,Id,Label,timeset,Weight
2299,2453,Directed,343,,,1
1148,653,Directed,344,,,1
479,389,Directed,345,,,1
2266,1664,Directed,346,,,1
374,1838,Directed,347,,,1
1364,2017,Directed,348,,,1
2201,285,Directed,349,,,1
1313,428,Directed,350,,,1
2026,2394,Directed,351,,,1
107,1515,Directed,352,,,1
2109,520,Directed,353,,,1
2200,2513,Directed,354,,,1
1698,521,Directed,355,,,1
142,1209,Directed,356,,,1
243,1947,Directed,357,,,1
146,726,Directed,358,,,1
721,2381,Directed,359,,,1
1297,709,Directed,360,,,1
2487,2114,Directed,361,,,1
1663,2373,Directed,362,,,1
1364,1664,Directed,363,,,1
2290,1195,Directed,364,,,1
357,2227,Directed,365,,,1
48,123,Directed,366,,,1
109,2193,Directed,367,,,1
242,796,Directed,368,,,1
440,776,Directed,369,,,1
3,968,Directed,370,,,1
2297,2252,Directed,371,,,1
1052,1069,Directed,372,,,1
553,2298,Directed,373,,,1
95,43,Directed,374,,,1
1116,107,Directed,375,,,1
2042,1111,Directed,376,,,1
2499,1325,Directed,377,,,1
1859,614,Directed,378,,,1
133,698,Directed,379,,,1
650,1804,Directed,380,,,1
2458,1102,Directed,381,,,1
2189,442,Directed,382,,,1
181,2096,Directed,383,,,1
271,1894,Directed,384,,,1
2485,235,Directed,385,,,1
2028,817,Directed,386,,,1
1161,1332,Directed,387,,,1
2235,1644,Directed,388,,,1
2464,1953,Directed,389,,,1
693,1943,Directed,390,,,1
337,855,Directed,391,,,1
2032,614,Directed,392,,,1
1039,553,Directed,393,,,1
404,1133,Directed,394,,,1
1920,2085,Directed,395,,,1
52,40,Directed,396,,,1
477,1029,Directed,397,,,1
2473,1792,Directed,398,,,1
1749,116,Directed,399,,,1
615,2480,Directed,400,,,1
2112,1266,Directed,401,,,1
1183,1916,Directed,402,,,1
545,372,Directed,403,,,1
1159,643,Directed,404,,,1
287,213,Directed,405,,,1
1674,614,Directed,406,,,1
358,2338,Directed,407,,,1
1110,837,Directed,408,,,1
1720,1409,Directed,409,,,1
1599,1944,Directed,410,,,1
2195,402,Directed,411,,,1
812,1498,Directed,412,,,1
1629,1736,Directed,413,,,1
1700,1367,Directed,414,,,1
2413,230,Directed,415,,,1
1968,1844,Directed,416,,,1
461,402,Directed,417,,,1
1554,2301,Directed,418,,,1
532,760,Directed,419,,,1
975,2508,Directed,420,,,1
687,2017,Directed,421,,,1
860,1086,Directed,422,,,1
176,1212,Directed,423,,,1
375,1724,Directed,424,,,1
2385,1106,Directed,425,,,1
2143,1223,Directed,426,,,1
1428,2391,Directed,427,,,1
24,12,Directed,428,,,1
1349,1906,Directed,429,,,1
1037,1738,Directed,430,,,1
701,45,Directed,431,,,1
1723,1852,Directed,432,,,1
1855,1480,Directed,433,,,1
2432,701,Directed,434,,,1
320,2315,Directed,435,,,1
2279,296,Directed,436,,,1
1149,1940,Directed,437,,,1
2034,389,Directed,438,,,1
1975,2252,Directed,439,,,1
1747,943,Directed,440,,,1
460,2370,Directed,441,,,1
2532,1018,Directed,442,,,1
1820,630,Directed,443,,,1
2511,1860,Directed,444,,,1
292,898,Directed,445,,,1
1640,821,Directed,446,,,1
2393,1606,Directed,447,,,1
1211,776,Directed,448,,,1
1446,2513,Directed,449,,,1
976,1949,Directed,450,,,1
540,927,Directed,451,,,1
1158,137,Directed,452,,,1
544,2239,Directed,453,,,1
195,851,Directed,454,,,1
2122,2273,Directed,455,,,1
499,780,Directed,456,,,1
1975,239,Directed,457,,,1
2469,509,Directed,458,,,1
221,2268,Directed,459,,,1
1715,1918,Directed,460,,,1
926,1575,Directed,461,,,1
2151,2341,Directed,462,,,1
2193,2228,Directed,463,,,1
283,491,Directed,464,,,1
1381,2127,Directed,465,,,1
378,1801,Directed,466,,,1
2422,1456,Directed,467,,,1
601,1854,Directed,468,,,1
1492,2254,Directed,469,,,1
1981,1333,Directed,470,,,1
1505,514,Directed,471,,,1
41,1838,Directed,472,,,1
84,1388,Directed,473,,,1
894,2023,Directed,474,,,1
1935,373,Directed,475,,,1
736,561,Directed,476,,,1
151,1733,Directed,477,,,1
1987,536,Directed,478,,,1
2496,202,Directed,479,,,1
54,527,Directed,480,,,1
2035,863,Directed,481,,,1
1948,1135,Directed,482,,,1
1844,550,Directed,483,,,1
1087,553,Directed,484,,,1
2243,82,Directed,485,,,1
1074,1244,Directed,486,,,1
1015,436,Directed,487,,,1
1156,635,Directed,488,,,1
811,573,Directed,489,,,1
1074,557,Directed,490,,,1
717,1811,Directed,491,,,1
713,2247,Directed,492,,,1
1225,913,Directed,493,,,1
748,470,Directed,494,,,1
1279,228,Directed,495,,,1
837,1171,Directed,496,,,1
80,2107,Directed,497,,,1
1828,1627,Directed,498,,,1
1433,1968,Directed,499,,,1
2454,479,Directed,500,,,1
1690,1223,Directed,501,,,1
907,2429,Directed,502,,,1
1720,2285,Directed,503,,,1
802,1023,Directed,504,,,1
232,2510,Directed,505,,,1
941,879,Directed,506,,,1
396,2196,Directed,507,,,1
1687,1184,Directed,508,,,1
654,1711,Directed,509,,,1
2135,1204,Directed,510,,,1
2408,1170,Directed,511,,,1
1645,1852,Directed,512,,,1
39,1700,Directed,513,,,1
1579,57,Directed,514,,,1
466,2535,Directed,515,,,1
2292,1856,Directed,516,,,1
2034,1477,Directed,517,,,1
2112,121,Directed,518,,,1
1765,2010,Directed,519,,,1
179,960,Directed,520,,,1
2405,2226,Directed,521,,,1
713,585,Directed,522,,,1
1989,1310,Directed,523,,,1
130,1332,Directed,524,,,1
414,130,Directed,525,,,1
2228,518,Directed,526,,,1
2072,2274,Directed,527,,,1
242,2227,Directed,528,,,1
