Talk1,Talk2
247,1213
248,2421
1235,382
1257,484
472,1155
2418,2375
580,1265
2492,437
2203,1829
1508,1361
2299,665
1330,1845
835,2008
2,2370
2375,1387
1437,631
710,4
1969,921
1939,1111
85,1344
1884,442
1547,2300
1027,1166
1279,148
380,2227
1134,812
730,2326
2402,2546
281,1395
2386,889
1163,925
1207,2105
309,627
740,1669
1134,1440
1356,2168
311,913
2378,2374
2383,1184
1859,1578
932,697
532,768
1245,1982
400,770
1221,2340
1689,832
897,126
524,1562
2149,408
2181,780
1274,957
2018,891
1196,2114
1227,1995
2173,1949
1974,1598
1605,1778
712,549
983,1972
1688,2135
45,216
1764,627
2277,771
606,1233
205,465
626,782
2051,1032
1373,1134
676,1549
630,1621
1877,2165
2060,1366
83,2025
1200,818
2224,1556
1160,1150
2486,774
2375,2282
1671,2455
1450,1076
723,202
911,114
638,461
1526,140
2429,1471
1710,1947
2143,2336
656,1376
2355,2356
1125,205
2027,429
266,1812
1537,1056
144,1113
2373,725
1798,1047
1574,2196
1654,1137
1342,1219
2292,715
438,1033
2076,330
573,1516
10,1375
560,1113
2015,61
1306,1785
2085,2287
1872,1685
923,195
972,1104
1556,330
125,860
395,1141
2544,952
2170,603
1453,1275
479,1936
1706,2410
1854,601
1742,1575
1181,1466
157,2354
291,1401
1912,1444
1238,39
797,2399
639,2413
1782,312
224,1215
616,1869
2363,893
2060,1661
1090,37
825,1248
2502,760
1671,165
1188,1934
207,1489
1547,735
2285,1911
2096,1449
331,1375
1561,1508
669,2373
924,2268
1225,888
2002,988
1484,1440
2265,2304
659,2289
474,894
2499,1572
522,1603
1209,2039
408,819
1312,703
1553,76
1524,1272
2369,1680
1040,1033
1895,1455
223,918
207,2220
1587,1025
2026,365
1599,553
1861,139
1937,448
1562,35
1115,2455
714,1223
760,2502
1390,1346
1179,1655
569,685
1326,1282
2209,702
1655,1482
1061,1785
88,1972
2058,173
821,1170
1699,64
963,1864
2393,1879
2369,2331
1762,383
1117,1328
1790,735
139,521
1582,837
983,2529
309,280
1519,154
1628,1736
2535,466
731,2189
1472,1845
560,2347
1068,2341
2445,1617
2495,1965
337,491
2276,2300
2437,2287
2154,1461
272,1131
2156,2132
766,1350
79,451
1372,761
165,2120
1651,1481
951,2522
1109,1447
209,410
1836,1824
625,2538
2068,1302
975,171
1479,780
24,4
1137,1030
1885,1310
616,817
385,77
110,1620
709,1847
1098,1304
346,170
565,1422
214,334
926,1192
768,113
2055,561
1705,1608
2303,811
1501,821
1048,768
1098,789
1422,1321
1438,179
1176,1546
1853,459
2026,364
1719,1631
1315,1805
836,1422
2436,738
246,1631
1771,948
1544,1690
107,1814
1053,109
2546,1844
2514,2080
247,1396
896,644
1508,1157
233,1572
420,792
1581,1463
1777,642
831,2084
335,2341
1233,1512
2204,1829
1572,1394
846,1424
392,2037
1732,1490
362,1060
2203,677
2102,2039
1533,2030
2371,39
1234,2190
800,1517
2185,965
2048,57
1856,614
1481,2040
6,1463
930,637
1974,125
1958,1774
1509,406
1744,620
363,1565
2047,464
2085,2511
871,1005
1849,884
1854,1883
897,942
2274,632
2100,497
747,1127
1860,171
993,1077
2223,2265
547,147
2433,561
1626,261
2307,1971
2384,2441
670,534
587,622
182,1855
73,1970
2221,21
1457,2186
2429,1053
1983,1521
1570,969
543,1178
1527,993
1863,1548
2180,2012
1136,2187
1273,1523
1465,372
1951,561
1896,436
1367,1033
1541,1466
1860,2511
2409,823
1016,2416
60,877
139,1285
2547,697
1243,114
422,1703
1463,1496
1055,714
2476,1743
423,1256
792,198
2262,1740
919,2456
1423,2007
75,998
1677,977
1157,816
1537,1113
655,1348
1559,441
2261,2043
77,442
1373,1511
1565,867
1716,153
1577,839
2077,1429
1119,230
2098,1040
456,133
2153,72
2390,1577
831,1245
630,1820
1444,1227
2387,2007
1911,2285
2496,2076
1934,411
1969,931
1497,1064
2494,665
2223,1045
608,2503
1875,646
856,1512
1472,896
713,989
476,506
588,587
911,1317
1992,614
378,1869
1176,1385
1613,1646
256,2457
462,354
73,1407
790,1528
108,2105
1803,2538
1216,2457
1109,1938
398,1305
1717,759
161,1849
452,1757
816,1216
134,2153
1745,1401
1437,1077
2189,303
961,983
2420,2338
591,867
1816,717
31,1153
737,2154
2448,2346
1562,577
1815,381
139,1861
1265,2351
60,555
2053,1110
1471,1398
1214,927
1623,110
1272,252
1932,154
1722,1343
1195,2248
2136,2321
1932,2115
1778,2255
68,55
538,292
1382,2142
1977,2368
1924,438
2203,2204
1011,799
118,405
442,77
634,2396
1790,2388
2358,2005
728,1137
260,1174
1564,8
1106,491
1269,100
640,1505
589,106
1197,2253
1568,135
1779,1188
2532,1234
325,1440
352,1742
834,2223
1266,1936
2247,1605
405,1685
1727,840
165,2289
1683,304
1871,1512
1941,2236
1848,2256
328,72
2427,1430
1744,979
2101,817
2383,430
253,2106
2246,2487
549,549
676,1133
655,1447
1601,892
847,2500
926,1512
1864,1354
433,2068
2411,1673
803,1275
1672,867
1129,2042
633,2023
1888,2301
2099,154
2269,565
868,2470
937,1562
738,2436
1091,173
743,2203
2508,171
66,1473
880,1118
1470,2039
2123,1618
1441,1065
2263,1247
2118,1108
707,404
165,511
2275,1485
2533,1433
450,200
1022,499
1058,452
2245,915
1870,154
1578,1947
2185,930
1025,2086
1408,1327
618,2128
2134,1006
688,331
1200,2433
1410,1714
1535,1292
223,208
1332,339
411,1383
1053,907
2229,1108
1337,402
1911,1420
1019,2483
1913,2123
1987,578
1411,539
1732,1355
1529,295
1123,1801
1273,253
595,477
2306,1019
187,428
109,1379
2333,2396
378,836
508,2436
1735,2213
2272,263
1263,2332
49,1625
2087,2085
834,2280
1561,1341
2306,1680
921,1959
971,970
2361,338
499,1022
1944,1368
1104,825
466,1553
1654,1877
1288,1844
368,478
1041,2498
685,2147
1141,395
1869,673
499,739
2237,542
1979,2039
179,194
2183,2520
827,520
1608,2039
500,791
1688,613
652,701
2408,991
103,2227
1883,601
1674,1377
1130,1530
2463,1145
558,1452
