Talk1,Talk2
2252,936
1011,854
916,2426
1962,1165
1128,2205
945,746
1769,1078
2225,2122
826,1124
1927,1735
1110,2008
1400,1122
1866,1725
2268,1252
2500,969
2368,1284
1986,1034
1885,1033
711,1500
1681,1328
1670,930
952,1074
1498,1303
1091,1331
826,1453
1175,2351
1007,1206
1500,2279
2347,2472
1328,1685
787,943
1714,943
652,853
1023,654
1273,1013
2082,1684
856,624
2213,2156
2045,2275
1308,1004
1279,727
1449,1132
2343,2207
1242,1280
1650,2514
1221,2532
1187,1162
2006,2430
2157,1310
1321,1884
1340,1116
2526,2502
2471,2519
1135,977
1955,1843
2308,1366
2406,1483
783,752
801,1248
743,2010
936,1234
2226,999
980,830
2140,2426
1039,1218
1718,1502
1197,985
2380,1843
2072,2545
2316,2445
1649,1973
1841,1478
1424,2154
2173,2255
2083,1763
1061,950
1043,1835
1094,695
699,752
1084,2343
1619,1115
1495,729
2190,1188
2066,1843
1930,969
1408,1001
1963,2342
2125,1234
2419,892
943,2033
835,1659
2034,1316
685,1535
980,916
1837,1167
2024,1164
2386,2306
1027,1948
1845,2111
1845,2490
1513,942
875,2409
1961,1954
1886,1519
1612,1581
2075,1794
1446,2491
1750,1052
1132,1848
1391,945
1069,1000
2229,952
1687,1289
1430,886
1609,754
1188,818
2299,2377
1523,985
1059,941
1731,2471
810,816
622,1732
2005,2519
1811,907
1127,1004
1080,1395
2366,2293
1394,2059
2251,2194
1194,2140
1310,943
820,2530
1588,1753
1850,986
1844,1754
1811,1146
1472,2306
2315,1619
1187,2143
616,1432
1334,729
1204,1027
763,1380
2084,2351
2119,2090
1193,666
2121,1395
2103,2258
689,931
1139,2219
1569,1630
745,912
1807,2172
907,1262
2547,2526
913,1273
2088,1748
913,1072
1786,1620
2043,1570
1569,1585
2288,2316
795,1534
2382,1248
2393,2128
1414,1188
2346,2328
945,1526
2434,1930
780,772
1854,798
847,1409
1220,1929
2343,1342
1205,1624
2213,1896
1941,2502
2399,2436
1981,1680
2193,942
1454,1632
896,1388
1918,1433
693,1176
1064,848
2359,2180
1360,1802
1992,1304
2376,2451
1902,1129
2204,2024
2378,2183
756,1166
2395,2265
1662,1241
1778,1581
1891,2234
689,678
1493,1429
1545,2405
666,939
948,1947
1564,1679
2240,2078
2536,2443
2233,1758
2260,1961
1621,1204
984,1884
1833,1135
2028,942
2138,2065
2291,2462
2428,890
1795,1109
1344,2335
2231,2543
1627,1523
2450,2441
1994,1135
1361,2413
2491,2163
2168,1607
2476,2465
1537,1027
1243,2259
1522,1875
1790,786
1003,2231
2019,2006
1808,1448
2100,1950
2157,2052
2121,1898
2318,2304
2474,2394
1742,2192
1765,1429
1663,1937
1862,2011
1604,2383
697,709
1052,1001
1390,774
1794,1359
703,2009
1083,1719
2079,1852
1284,1990
829,1696
1644,719
616,1167
1959,2375
641,1281
2526,2306
870,1988
781,2290
979,1524
1780,2442
1339,1051
1220,633
2288,2445
2413,2268
750,1874
1189,1010
1982,931
1814,2247
2280,1111
1263,893
786,1856
1664,1129
2486,1199
1133,871
683,2497
2131,2011
826,1678
1231,2467
2536,2322
1807,1594
2172,2103
2149,2108
870,1695
2098,1961
874,1205
1619,1704
2181,1167
2131,2470
1848,2497
937,1610
1307,984
2419,1183
1063,985
1250,1120
1456,2456
983,1097
1500,1493
1935,1997
717,711
1666,2274
2109,2505
2261,2371
1723,2279
798,854
854,1302
1875,1691
1632,1339
2001,835
2047,1307
938,1041
1124,1038
1297,1165
2421,2387
2078,2152
1952,1571
2346,2285
2300,1872
1311,1093
1113,887
2315,2287
2212,1551
1194,845
1258,1130
1179,1125
1864,1741
1475,1913
1582,1103
1050,948
1207,1264
1719,1373
1121,1939
1443,2342
1899,2282
1754,1872
2473,1442
2102,2094
2305,1820
2214,1883
984,811
2316,2165
1832,1818
2311,2213
812,1952
2170,2138
2463,1772
1952,2220
857,2495
1701,2210
902,766
855,2434
1570,879
1072,821
2180,1458
1580,2368
1299,723
1452,711
1128,2295
897,2067
1455,1515
2241,1315
1281,748
2227,1681
1893,1109
1181,1663
1525,899
2340,711
2364,1364
1601,1650
2482,2438
814,1452
1405,1598
1487,2153
1517,1493
2374,2230
1436,1662
1065,1058
1324,2379
2319,1550
2005,1279
2307,2023
1970,1962
1517,1414
2158,713
1393,1164
2246,1450
780,1241
1919,1702
799,635
1217,719
1387,2153
1170,2279
2256,2370
1661,1070
1493,2445
1347,1077
839,2454
1645,2462
736,1784
1346,1177
1942,1164
2238,2156
1769,1784
2353,2057
1275,2457
2097,1649
1401,1337
2328,2274
2501,2185
2110,2098
1906,1574
1148,2158
758,2063
2478,2520
963,962
2344,2306
2050,1406
2458,1315
1967,1568
2066,2482
879,2287
833,692
1480,1099
2011,1653
1695,1054
948,1622
1475,1466
2045,676
1622,1650
2317,2425
1612,781
1936,1313
2132,2033
1574,1001
1392,1382
2332,1696
1965,2344
1369,827
1194,865
2520,1757
2241,2272
892,1183
1399,930
2051,2453
2543,1014
727,753
1840,1833
1086,1939
1147,1316
748,655
2305,2301
1628,1701
1089,1128
2387,2322
756,1199
842,1046
1098,2165
1606,1678
1477,1271
2371,700
615,1344
753,1180
2538,2251
2208,2301
1441,1043
2098,2481
1057,2261
2123,2522
1233,2057
635,614
938,2007
1326,1917
1820,1832
1375,2206
1924,1592
1217,937
684,2274
1435,1910
2369,2307
860,1273
2197,1553
846,2128
1372,2324
